modality,reference,model,tilt,MAE,MSE,PSNR,SSIM
noisy,noiseless,0,46,0.40630847,0.17230116386508532,7.637117889566316,0.16953862
noisy,noiseless,0,47,0.40446454,0.17083873433077706,7.674136547305541,0.1684735
noisy,noiseless,0,48,0.40254474,0.16937260840135526,7.711568241235258,0.16718444
noisy,noiseless,0,49,0.40057635,0.16783176387190626,7.751258410710841,0.16658127
noisy,noiseless,0,50,0.398537,0.16627860441962428,7.79163629194688,0.16518405
noisy,noiseless,0,51,0.396432,0.16467345770309977,7.8337639537799175,0.16409887
noisy,noiseless,0,52,0.39425838,0.16304158948979303,7.8770159938719955,0.16341124
noisy,noiseless,0,53,0.3920245,0.1613769117376186,7.921585998630551,0.16247757
noisy,noiseless,0,54,0.38972098,0.15961454529114066,7.969275349661945,0.16147989
noisy,noiseless,0,55,0.38734293,0.15778897906984246,8.019233338027833,0.16083163
noisy,noiseless,0,56,0.38488898,0.1559623536245625,8.069802195058063,0.15965486
noisy,noiseless,0,57,0.38237688,0.15408598262244036,8.122368677489241,0.15902424
noisy,noiseless,0,58,0.37977862,0.15216637146132017,8.176813153872025,0.15831895
noisy,noiseless,0,59,0.3771203,0.15019769013550843,8.233367462207738,0.15762982
noisy,noiseless,0,60,0.37438354,0.148232737673098,8.290558704414478,0.15695968
faket,noiseless,0,0,0.4833623,0.24134706843803005,6.173579720428,0.16776739
faket,noiseless,0,1,0.4774202,0.23574562800242468,6.275563526819518,0.16440502
faket,noiseless,0,2,0.44719857,0.20820371403503077,6.815115276087066,0.16077444
faket,noiseless,0,3,0.41848955,0.18353426450099422,7.362828442481612,0.16111898
faket,noiseless,0,4,0.43160295,0.19404591127201626,7.12095503816567,0.17152825
faket,noiseless,0,5,0.41155475,0.17697427825364115,7.5208985015944645,0.17756051
faket,noiseless,0,6,0.43527177,0.19657288475796786,7.064763889054232,0.18530297
faket,noiseless,0,7,0.4177819,0.18185328509858134,7.402788492020658,0.18172336
faket,noiseless,0,8,0.39871293,0.16650152585064798,7.785817821848072,0.17824368
faket,noiseless,0,9,0.38446066,0.15544662399763387,8.084187055610897,0.17640233
faket,noiseless,0,10,0.36908543,0.14401010885116916,8.41607021347869,0.1748077
faket,noiseless,0,11,0.41351184,0.17795850526771823,7.496812506915147,0.18840319
faket,noiseless,0,12,0.40235335,0.16899562935530438,7.721245271698699,0.18661276
faket,noiseless,0,13,0.39187676,0.16087618547736393,7.9350823981168634,0.18312618
faket,noiseless,0,14,0.38550413,0.15582963609321654,8.073499435327044,0.18606219
faket,noiseless,0,15,0.37487495,0.14803754052450524,8.296281388262411,0.18052226
faket,noiseless,0,16,0.36642432,0.14195173568122715,8.478592928727428,0.17891769
faket,noiseless,0,17,0.3576349,0.13580177289482537,8.670945602954749,0.17485952
faket,noiseless,0,18,0.41966888,0.1830187136584588,7.375045014002495,0.19097272
faket,noiseless,0,19,0.41640368,0.1802919736227508,7.440236071042197,0.19186959
faket,noiseless,0,20,0.41039252,0.1754723418690991,7.557913277465009,0.18921942
faket,noiseless,0,21,0.40630493,0.17223796777132783,7.638711073770046,0.18703835
faket,noiseless,0,22,0.40237558,0.16908789588639755,7.718874801485204,0.18708324
faket,noiseless,0,23,0.39899462,0.16644046453228212,7.787410807694696,0.18507123
faket,noiseless,0,24,0.3953947,0.1636493448961638,7.860857288744651,0.18502553
faket,noiseless,0,25,0.39241582,0.16139783758763837,7.921022882635606,0.18274784
faket,noiseless,0,26,0.3911101,0.16044478107990043,7.946744049945494,0.18150814
faket,noiseless,0,27,0.38756686,0.15773499365877258,8.020719473370066,0.18110234
faket,noiseless,0,28,0.38387406,0.15511662242457783,8.09341660339472,0.17737019
faket,noiseless,0,29,0.38412678,0.15530977133932802,8.088012197044513,0.1774998
faket,noiseless,0,30,0.38451228,0.15563697485625988,8.078872192458428,0.1798957
faket,noiseless,0,31,0.3855328,0.15557096375401475,8.080714578485429,0.19796929
faket,noiseless,0,32,0.38475597,0.1549433779436087,8.09826980147545,0.19859546
faket,noiseless,0,33,0.38488805,0.15504787255863556,8.095341884230034,0.19861886
faket,noiseless,0,34,0.38528746,0.15535866858152872,8.086645093089647,0.19817643
faket,noiseless,0,35,0.38519055,0.15527125327834015,8.08908941555437,0.19861755
faket,noiseless,0,36,0.38714898,0.15674479523999504,8.048068711420816,0.19841728
faket,noiseless,0,37,0.38919908,0.15830031327881255,8.005182256611755,0.19994149
faket,noiseless,0,38,0.39120758,0.1598338962764502,7.9633111360301925,0.20085907
